Date,Share Price,NAV,Discount (%)
2021-04-23,$27.68 ,$29.35 ,-0.058440000000000006
2021-04-30,$27.78 ,$29.06 ,-0.05674
2021-05-07,$27.04 ,$28.72 ,-0.0517
2021-05-14,$25.82 ,$27.93 ,-0.07116
2021-05-21,$26.32 ,$28.17 ,-0.06502000000000001
2021-05-28,$27.10 ,$28.83 ,-0.063125
2021-06-04,$27.32 ,$28.82 ,-0.052725
2021-06-11,$27.50 ,$28.93 ,-0.05312
2021-06-18,$27.31 ,$28.81 ,-0.05498000000000001
2021-06-25,$27.34 ,$28.84 ,-0.0523
2021-07-02,$28.01 ,$29.57 ,-0.0626
2021-07-09,$27.82 ,$29.42 ,-0.05395
2021-07-16,$27.10 ,$28.78 ,-0.059699999999999996
2021-07-23,$27.44 ,$29.64 ,-0.072
2021-07-30,$26.90 ,$29.55 ,-0.09294
2021-08-06,$27.34 ,$29.77 ,-0.08246
2021-08-13,$27.40 ,$29.44 ,-0.07094
2021-08-20,$26.81 ,$29.09 ,-0.07296
2021-08-27,$27.71 ,$30.11 ,-0.08038000000000001
2021-09-03,$28.21 ,$30.35 ,-0.06992
2021-09-10,$27.87 ,$29.84 ,-0.066425
2021-09-17,$27.44 ,$29.94 ,-0.07886
2021-09-24,$27.24 ,$30.17 ,-0.09364
2021-10-01,$26.97 ,$29.31 ,-0.08998
2021-10-08,$26.91 ,$29.16 ,-0.07936
2021-10-15,$27.29 ,$29.77 ,-0.08066
2021-10-22,$27.39 ,$30.21 ,-0.08603999999999999
2021-10-29,$27.55 ,$30.27 ,-0.09002500000000001
2021-11-05,$28.48 ,$30.89 ,-0.08034
2021-11-12,$28.32 ,$30.90 ,-0.08338
2021-11-19,$27.93 ,$30.69 ,-0.08752
2021-11-26,$27.21 ,$29.91 ,-0.089125
2021-12-03,$26.63 ,$29.21 ,-0.09022
2021-12-10,$27.09 ,$29.94 ,-0.09441999999999999
2021-12-17,$27.09 ,$29.36 ,-0.09230000000000001
2021-12-24,$25.02 ,$26.64 ,-0.07565
2021-12-31,$24.79 ,$26.67 ,-0.07452
2022-01-07,$24.95 ,$25.66 ,-0.04718
2022-01-14,$24.60 ,$25.34 ,-0.01482
2022-01-21,$22.00 ,$23.81 ,-0.048424999999999996
2022-01-28,$21.81 ,$23.58 ,-0.08371999999999999
2022-02-04,$22.83 ,$24.19 ,-0.0341
2022-02-11,$22.39 ,$23.94 ,-0.061380000000000004
2022-02-18,$22.01 ,$23.44 ,-0.06714
2022-02-25,$21.55 ,$23.71 ,-0.09267500000000001
2022-03-04,$21.91 ,$23.00 ,-0.05632
2022-03-11,$20.42 ,$22.38 ,-0.08176
2022-03-18,$21.76 ,$23.75 ,-0.09946
2022-03-25,$21.45 ,$23.91 ,-0.09958
2022-04-01,$22.08 ,$23.85 ,-0.09212000000000001
2022-04-08,$20.98 ,$22.89 ,-0.07937999999999999
2022-04-15,$20.33 ,$22.68 ,-0.095875
2022-04-22,$19.76 ,$21.85 ,-0.10532
2022-04-29,$19.15 ,$21.40 ,-0.10468
2022-05-06,$18.77 ,$20.91 ,-0.0995
2022-05-13,$17.42 ,$20.25 ,-0.12442
2022-05-20,$17.01 ,$19.81 ,-0.13535999999999998
2022-05-27,$18.28 ,$21.07 ,-0.14586000000000002
2022-06-03,$18.49 ,$20.89 ,-0.115625
2022-06-10,$17.25 ,$19.80 ,-0.12332000000000001
2022-06-17,$15.78 ,$18.52 ,-0.14406
2022-06-24,$16.61 ,$19.38 ,-0.143475
2022-07-01,$16.57 ,$18.80 ,-0.13434
2022-07-08,$16.77 ,$19.12 ,-0.119125
2022-07-15,$16.47 ,$18.94 ,-0.1282
2022-07-22,$17.04 ,$19.51 ,-0.13191999999999998
2022-07-29,$17.50 ,$20.12 ,-0.13042499999999999
2022-08-05,$18.16 ,$20.66 ,-0.11772
2022-08-12,$18.65 ,$21.12 ,-0.11354
2022-08-19,$18.11 ,$20.75 ,-0.11760000000000001
2022-08-26,$17.73 ,$20.24 ,-0.1276
2022-09-02,$17.22 ,$19.54 ,-0.12227999999999999
2022-09-09,$17.75 ,$20.15 ,-0.124025
2022-09-16,$16.95 ,$19.32 ,-0.12227999999999999
2022-09-23,$15.73 ,$18.29 ,-0.13388
2022-09-30,$15.58 ,$17.99 ,-0.1359
2022-10-07,$15.89 ,$18.46 ,-0.13552
2022-10-14,$15.13 ,$17.75 ,-0.13978000000000002
2022-10-21,$15.77 ,$18.60 ,-0.14864
2022-10-28,$16.40 ,$19.37 ,-0.14809999999999998
2022-11-04,$16.20 ,$18.94 ,-0.14076
2022-11-11,$17.11 ,$19.65 ,-0.13118000000000002
2022-11-18,$16.93 ,$19.62 ,-0.14046
2022-11-25,$17.06 ,$19.87 ,-0.14385
2022-12-02,$17.47 ,$20.16 ,-0.13872
2022-12-09,$16.87 ,$19.59 ,-0.1396
2022-12-16,$16.48 ,$19.31 ,-0.14566
2022-12-23,$16.26 ,$19.17 ,-0.14748
2022-12-30,$16.23 ,$19.12 ,-0.15343333333333334
2023-01-06,$16.54 ,$19.30 ,-0.140875
2023-01-13,$17.15 ,$19.90 ,-0.13918
2023-01-20,$16.90 ,$19.60 ,-0.10220000000000001
2023-01-27,$17.34 ,$19.91 ,-0.13288
2023-02-03,$17.63 ,$20.01 ,-0.12076
2023-02-10,$17.38 ,$19.70 ,-0.1251
2023-02-17,$17.31 ,$19.65 ,-0.11903999999999999
2023-02-24,$17.08 ,$19.22 ,-0.119025
2023-03-03,$17.43 ,$19.58 ,-0.10817999999999998
2023-03-10,$16.46 ,$18.57 ,-0.10788
2023-03-17,$16.35 ,$18.59 ,-0.11668
2023-03-24,$16.62 ,$18.79 ,-0.11616
2023-03-31,$17.40 ,$19.46 ,-0.11548
2023-04-07,$16.96 ,$19.18 ,-0.11175
2023-04-14,$17.28 ,$19.23 ,-0.09914
2023-04-21,$16.83 ,$19.08 ,-0.1103
2023-04-28,$16.55 ,$18.81 ,-0.12125
2023-05-05,$16.59 ,$18.79 ,-0.11116000000000001
2023-05-12,$16.41 ,$18.71 ,-0.12016
2023-05-19,$16.55 ,$19.00 ,-0.12628
2023-05-26,$16.71 ,$19.20 ,-0.13162000000000001
2023-06-02,$17.16 ,$19.51 ,-0.12665
2023-06-09,$17.58 ,$19.37 ,-0.0978
2023-06-16,$18.36 ,$19.79 ,-0.07666
2023-06-23,$18.10 ,$19.45 ,-0.07990000000000001
2023-06-30,$18.40 ,$19.91 ,-0.08098000000000001
2023-07-07,$18.61 ,$19.61 ,-0.05499999999999999
2023-07-14,$18.71 ,$20.01 ,-0.06168
2023-07-21,$18.88 ,$20.02 ,-0.06442
2023-07-28,$18.61 ,$20.02 ,-0.07261999999999999
2023-08-04,$18.10 ,$19.62 ,-0.07561999999999999
2023-08-11,$18.04 ,$19.27 ,-0.06908
2023-08-18,$17.48 ,$18.89 ,-0.07658
2023-08-25,$17.69 ,$19.05 ,-0.07418
2023-09-01,$18.28 ,$19.62 ,-0.07016
2023-09-08,$18.02 ,$19.28 ,-0.06382499999999999
2023-09-15,$17.79 ,$19.02 ,-0.06434
2023-09-22,$16.88 ,$18.64 ,-0.07078
2023-09-29,$16.51 ,$18.63 ,-0.11291999999999999
2023-10-06,$16.53 ,$18.71 ,-0.11108
2023-10-13,$16.33 ,$18.58 ,-0.12142
2023-10-20,$15.61 ,$18.10 ,-0.13040000000000002
2023-10-27,$15.13 ,$17.79 ,-0.14456
2023-11-03,$16.57 ,$18.59 ,-0.12471999999999998
2023-11-10,$16.41 ,$18.74 ,-0.11839999999999999
2023-11-17,$16.77 ,$19.16 ,-0.12742
2023-11-24,$16.78 ,$19.32 ,-0.129375
2023-12-01,$17.51 ,$19.53 ,-0.11857999999999999
2023-12-08,$17.16 ,$19.38 ,-0.11508
2023-12-15,$17.35 ,$19.99 ,-0.13262000000000002
2023-12-22,$17.53 ,$20.20 ,-0.13278
2023-12-29,$17.40 ,$20.26 ,-0.136625
2024-01-05,$17.38 ,$19.82 ,-0.129975
2024-01-12,$18.02 ,$20.25 ,-0.0888
2024-01-19,$18.46 ,$20.56 ,-0.10452499999999999
2024-01-26,$18.46 ,$20.72 ,-0.10300000000000001
2024-02-02,$19.06 ,$21.07 ,-0.09659999999999999
2024-02-09,$19.48 ,$21.36 ,-0.08386
2024-02-16,$19.21 ,$21.20 ,-0.08914000000000001
2024-02-23,$19.04 ,$21.36 ,-0.10692499999999999
2024-03-01,$19.85 ,$21.69 ,-0.09382
2024-03-08,$19.80 ,$21.49 ,-0.07918
2024-03-15,$19.25 ,$21.24 ,-0.09079999999999999
2024-03-22,$19.91 ,$21.79 ,-0.09144
2024-03-29,$20.03 ,$21.76 ,-0.08220000000000001
2024-04-05,$19.92 ,$21.71 ,-0.08172
2024-04-12,$19.64 ,$21.20 ,-0.0769
2024-04-19,$18.76 ,$20.41 ,-0.08066
2024-04-26,$19.43 ,$21.12 ,-0.08198
2024-05-03,$19.98 ,$21.17 ,-0.06652
2024-05-10,$19.90 ,$21.36 ,-0.06514
2024-05-17,$19.89 ,$21.69 ,-0.07762
2024-05-24,$19.96 ,$21.76 ,-0.08304
2024-05-31,$19.95 ,$21.38 ,-0.073075
2024-06-07,$20.10 ,$21.62 ,-0.07306
2024-06-14,$20.58 ,$21.91 ,-0.065
2024-06-21,$21.16 ,$21.99 ,-0.04675
2024-06-28,$21.58 ,$22.02 ,-0.03575
2024-07-05,$21.88 ,$22.35 ,-0.023625
2024-07-12,$21.64 ,$22.36 ,-0.02546
2024-07-19,$20.88 ,$21.58 ,-0.030920000000000003
2024-07-26,$20.64 ,$21.34 ,-0.02454
2024-08-02,$20.38 ,$20.75 ,-0.0107
2024-08-09,$20.76 ,$21.05 ,-0.018959999999999998
2024-08-16,$21.45 ,$21.70 ,-0.01716
2024-08-23,$21.20 ,$21.94 ,-0.02398
2024-08-30,$21.66 ,$22.00 ,-0.02794
2024-09-06,$20.46 ,$20.97 ,-0.01615
2024-09-13,$20.80 ,$21.67 ,-0.03292
2024-09-20,$21.57 ,$22.11 ,-0.02732
2024-09-27,$21.90 ,$22.22 ,-0.02198
2024-10-04,$22.08 ,$22.34 ,-0.01236
2024-10-11,$22.63 ,$22.67 ,-0.0032199999999999998
2024-10-18,$22.51 ,$22.61 ,-0.0032600000000000003
2024-10-25,$22.14 ,$22.46 ,-0.009024999999999998
2024-11-01,$22.33 ,$22.11 ,-0.0015750000000000004
